Name:                           CortexSubcortex_ColeAnticevic_NetPartition_wSubcorGSR_parcels_R.dlabel.nii
Type:                           CIFTI - Dense Label
Structure:                      CortexLeft CortexRight 
Data Size:                      365.13 Kilobytes
Maps to Surface:                true
Maps to Volume:                 true
Maps with LabelTable:           true
Maps with Palette:              false
Number of Maps:                 1
Number of Rows:                 91282
Number of Columns:              1
Volume Dim[0]:                  91
Volume Dim[1]:                  109
Volume Dim[2]:                  91
Palette Type:                   None
CIFTI Dim[0]:                   1
CIFTI Dim[1]:                   91282
ALONG_ROW map type:             LABELS
ALONG_COLUMN map type:          BRAIN_MODELS
    Has Volume Data:            true
    Volume Dims:                91,109,91
    Volume Space:               -2,0,0,90;0,2,0,-126;0,0,2,-72
    CortexLeft:                 29696 out of 32492 vertices
    CortexRight:                29716 out of 32492 vertices
    AccumbensLeft:              135 voxels
    AccumbensRight:             140 voxels
    AmygdalaLeft:               315 voxels
    AmygdalaRight:              332 voxels
    BrainStem:                  3472 voxels
    CaudateLeft:                728 voxels
    CaudateRight:               755 voxels
    CerebellumLeft:             8709 voxels
    CerebellumRight:            9144 voxels
    DiencephalonVentralLeft:    706 voxels
    DiencephalonVentralRight:   712 voxels
    HippocampusLeft:            764 voxels
    HippocampusRight:           795 voxels
    PallidumLeft:               297 voxels
    PallidumRight:              260 voxels
    PutamenLeft:                1060 voxels
    PutamenRight:               1010 voxels
    ThalamusLeft:               1288 voxels
    ThalamusRight:              1248 voxels

Map   Map Name   
  1   INDEXMAX   

Label table for ALL maps
         KEY   NAME                                       RED   GREEN    BLUE   ALPHA   
          71   Default_14                               1.000   0.000   0.000   1.000   
          72   Default_15                               1.000   0.000   0.000   1.000   
          73   Frontoparietal_6                         1.000   1.000   0.000   1.000   
          74   Frontoparietal_7                         1.000   1.000   0.000   1.000   
          75   Language_2                               0.000   0.608   0.608   1.000   
          76   Default_16                               1.000   0.000   0.000   1.000   
          77   Frontoparietal_8                         1.000   1.000   0.000   1.000   
          78   Cingulo-Opercular_11                     0.600   0.000   0.600   1.000   
          79   Language_3                               0.000   0.608   0.608   1.000   
          80   Frontoparietal_9                         1.000   1.000   0.000   1.000   
          81   Frontoparietal_10                        1.000   1.000   0.000   1.000   
          82   Cingulo-Opercular_12                     0.600   0.000   0.600   1.000   
          83   Frontoparietal_11                        1.000   1.000   0.000   1.000   
          84   Cingulo-Opercular_13                     0.600   0.000   0.600   1.000   
          85   Frontoparietal_12                        1.000   1.000   0.000   1.000   
          86   Cingulo-Opercular_14                     0.600   0.000   0.600   1.000   
          87   Default_17                               1.000   0.000   0.000   1.000   
          88   Default_18                               1.000   0.000   0.000   1.000   
          89   Frontoparietal_13                        1.000   1.000   0.000   1.000   
          90   Default_19                               1.000   0.000   0.000   1.000   
          91   Frontoparietal_14                        1.000   1.000   0.000   1.000   
          92   Frontoparietal_15                        1.000   1.000   0.000   1.000   
          93   Frontoparietal_16                        1.000   1.000   0.000   1.000   
          94   Default_20                               1.000   0.000   0.000   1.000   
          95   Dorsal Attention_2                       0.000   1.000   0.000   1.000   
          96   Dorsal Attention_3                       0.000   1.000   0.000   1.000   
          97   Frontoparietal_17                        1.000   1.000   0.000   1.000   
          98   Frontoparietal_18                        1.000   1.000   0.000   1.000   
          99   Cingulo-Opercular_15                     0.600   0.000   0.600   1.000   
         100   Somatomotor_14                           0.000   1.000   1.000   1.000   
         101   Somatomotor_15                           0.000   1.000   1.000   1.000   
         102   Somatomotor_16                           0.000   1.000   1.000   1.000   
         103   Auditory_1                               0.980   0.243   0.984   1.000   
         104   Somatomotor_17                           0.000   1.000   1.000   1.000   
         105   Cingulo-Opercular_16                     0.600   0.000   0.600   1.000   
         106   Cingulo-Opercular_17                     0.600   0.000   0.600   1.000   
         107   Auditory_2                               0.980   0.243   0.984   1.000   
         108   Cingulo-Opercular_18                     0.600   0.000   0.600   1.000   
         109   Cingulo-Opercular_19                     0.600   0.000   0.600   1.000   
         110   Orbito-Affective                         0.255   0.490   0.000   0.659   
         111   Frontoparietal_19                        1.000   1.000   0.000   1.000   
         112   Orbito-Affective_1                       0.255   0.490   0.000   0.659   
         113   Cingulo-Opercular_20                     0.600   0.000   0.600   1.000   
         114   Cingulo-Opercular_21                     0.600   0.000   0.600   1.000   
         115   Somatomotor_18                           0.000   1.000   1.000   1.000   
         116   Dorsal Attention_4                       0.000   1.000   0.000   1.000   
         117   Dorsal Attention_5                       0.000   1.000   0.000   1.000   
         118   Default_21                               1.000   0.000   0.000   1.000   
         119   Default_22                               1.000   0.000   0.000   1.000   
         120   Default_23                               1.000   0.000   0.000   1.000   
         121   Visual_1                                 0.000   0.000   1.000   1.000   
         122   Ventral Multimodal                       1.000   0.616   0.000   1.000   
         123   Language_4                               0.000   0.608   0.608   1.000   
         124   Auditory_3                               0.980   0.243   0.984   1.000   
         125   Language_5                               0.000   0.608   0.608   1.000   
         126   Default_24                               1.000   0.000   0.000   1.000   
         127   Dorsal Attention_6                       0.000   1.000   0.000   1.000   
         128   Default_25                               1.000   0.000   0.000   1.000   
         129   Language_6                               0.000   0.608   0.608   1.000   
         130   Default_26                               1.000   0.000   0.000   1.000   
         131   Default_27                               1.000   0.000   0.000   1.000   
         132   Default_28                               1.000   0.000   0.000   1.000   
         133   Frontoparietal_20                        1.000   1.000   0.000   1.000   
         134   Default_29                               1.000   0.000   0.000   1.000   
         135   Ventral Multimodal_1                     1.000   0.616   0.000   1.000   
         136   Dorsal Attention_7                       0.000   1.000   0.000   1.000   
         137   Dorsal Attention_8                       0.000   1.000   0.000   1.000   
         138   Visual2_17                               0.392   0.000   1.000   1.000   
         139   Language_7                               0.000   0.608   0.608   1.000   
         140   Posterior Multimodal_2                   0.694   0.349   0.157   1.000   
         141   Posterior Multimodal_3                   0.694   0.349   0.157   1.000   
         142   Visual_2                                 0.000   0.000   1.000   1.000   
         143   Dorsal Attention_9                       0.000   1.000   0.000   1.000   
         144   Frontoparietal_21                        1.000   1.000   0.000   1.000   
         145   Frontoparietal_22                        1.000   1.000   0.000   1.000   
         146   Dorsal Attention_10                      0.000   1.000   0.000   1.000   
         147   Cingulo-Opercular_22                     0.600   0.000   0.600   1.000   
         148   Cingulo-Opercular_23                     0.600   0.000   0.600   1.000   
         149   Frontoparietal_23                        1.000   1.000   0.000   1.000   
         150   Default_30                               1.000   0.000   0.000   1.000   
         151   Default_31                               1.000   0.000   0.000   1.000   
         152   Visual2_18                               0.392   0.000   1.000   1.000   
         153   Visual2_19                               0.392   0.000   1.000   1.000   
         154   Visual2_20                               0.392   0.000   1.000   1.000   
         155   Default_32                               1.000   0.000   0.000   1.000   
         156   Visual2_21                               0.392   0.000   1.000   1.000   
         157   Visual2_22                               0.392   0.000   1.000   1.000   
         158   Visual2_23                               0.392   0.000   1.000   1.000   
         159   Visual2_24                               0.392   0.000   1.000   1.000   
         160   Visual2_25                               0.392   0.000   1.000   1.000   
         161   Default_33                               1.000   0.000   0.000   1.000   
         162   Frontoparietal_24                        1.000   1.000   0.000   1.000   
         163   Visual2_26                               0.392   0.000   1.000   1.000   
         164   Default_34                               1.000   0.000   0.000   1.000   
         165   Default_35                               1.000   0.000   0.000   1.000   
         166   Orbito-Affective_2                       0.255   0.490   0.000   0.659   
         167   Cingulo-Opercular_24                     0.600   0.000   0.600   1.000   
         168   Somatomotor_19                           0.000   1.000   1.000   1.000   
         169   Cingulo-Opercular_25                     0.600   0.000   0.600   1.000   
         170   Frontoparietal_25                        1.000   1.000   0.000   1.000   
         171   Frontoparietal_26                        1.000   1.000   0.000   1.000   
         172   Language_8                               0.000   0.608   0.608   1.000   
         173   Auditory_4                               0.980   0.243   0.984   1.000   
         174   Auditory_5                               0.980   0.243   0.984   1.000   
         175   Auditory_6                               0.980   0.243   0.984   1.000   
         176   Default_36                               1.000   0.000   0.000   1.000   
         177   Frontoparietal_27                        1.000   1.000   0.000   1.000   
         178   Cingulo-Opercular_26                     0.600   0.000   0.600   1.000   
         179   Cingulo-Opercular_27                     0.600   0.000   0.600   1.000   
         180   Cingulo-Opercular_28                     0.600   0.000   0.600   1.000   
         181   Visual_3                                 0.000   0.000   1.000   1.000   
         182   Visual2_27                               0.392   0.000   1.000   1.000   
         183   Visual2_28                               0.392   0.000   1.000   1.000   
         184   Visual2_29                               0.392   0.000   1.000   1.000   
         185   Visual2_30                               0.392   0.000   1.000   1.000   
         186   Visual2_31                               0.392   0.000   1.000   1.000   
         187   Visual2_32                               0.392   0.000   1.000   1.000   
         188   Somatomotor_20                           0.000   1.000   1.000   1.000   
         189   Somatomotor_21                           0.000   1.000   1.000   1.000   
         190   Cingulo-Opercular_29                     0.600   0.000   0.600   1.000   
         191   Dorsal Attention_11                      0.000   1.000   0.000   1.000   
         192   Language_9                               0.000   0.608   0.608   1.000   
         193   Visual2_33                               0.392   0.000   1.000   1.000   
         194   Frontoparietal_28                        1.000   1.000   0.000   1.000   
         195   Frontoparietal_29                        1.000   1.000   0.000   1.000   
         196   Visual2_34                               0.392   0.000   1.000   1.000   
         197   Visual2_35                               0.392   0.000   1.000   1.000   
         198   Visual2_36                               0.392   0.000   1.000   1.000   
         199   Visual2_37                               0.392   0.000   1.000   1.000   
         200   Visual2_38                               0.392   0.000   1.000   1.000   
         201   Visual2_39                               0.392   0.000   1.000   1.000   
         202   Visual2_40                               0.392   0.000   1.000   1.000   
         203   Visual2_41                               0.392   0.000   1.000   1.000   
         204   Auditory_7                               0.980   0.243   0.984   1.000   
         205   Language_10                              0.000   0.608   0.608   1.000   
         206   Language_11                              0.000   0.608   0.608   1.000   
         207   Posterior Multimodal_4                   0.694   0.349   0.157   1.000   
         208   Language_12                              0.000   0.608   0.608   1.000   
         209   Frontoparietal_30                        1.000   1.000   0.000   1.000   
         210   Default_37                               1.000   0.000   0.000   1.000   
         211   Default_38                               1.000   0.000   0.000   1.000   
         212   Default_39                               1.000   0.000   0.000   1.000   
         213   Default_40                               1.000   0.000   0.000   1.000   
         214   Default_41                               1.000   0.000   0.000   1.000   
         215   Default_42                               1.000   0.000   0.000   1.000   
         216   Somatomotor_22                           0.000   1.000   1.000   1.000   
         217   Cingulo-Opercular_30                     0.600   0.000   0.600   1.000   
         218   Cingulo-Opercular_31                     0.600   0.000   0.600   1.000   
         219   Somatomotor_23                           0.000   1.000   1.000   1.000   
         220   Somatomotor_24                           0.000   1.000   1.000   1.000   
         221   Somatomotor_25                           0.000   1.000   1.000   1.000   
         222   Somatomotor_26                           0.000   1.000   1.000   1.000   
         223   Cingulo-Opercular_32                     0.600   0.000   0.600   1.000   
         224   Cingulo-Opercular_33                     0.600   0.000   0.600   1.000   
         225   Cingulo-Opercular_34                     0.600   0.000   0.600   1.000   
         226   Dorsal Attention_12                      0.000   1.000   0.000   1.000   
         227   Somatomotor_27                           0.000   1.000   1.000   1.000   
         228   Visual2_42                               0.392   0.000   1.000   1.000   
         229   Visual2_43                               0.392   0.000   1.000   1.000   
         230   Dorsal Attention_13                      0.000   1.000   0.000   1.000   
         231   Somatomotor_28                           0.000   1.000   1.000   1.000   
         232   Somatomotor_29                           0.000   1.000   1.000   1.000   
         233   Somatomotor_30                           0.000   1.000   1.000   1.000   
         234   Somatomotor_31                           0.000   1.000   1.000   1.000   
         235   Somatomotor_32                           0.000   1.000   1.000   1.000   
         236   Somatomotor_33                           0.000   1.000   1.000   1.000   
         237   Cingulo-Opercular_35                     0.600   0.000   0.600   1.000   
         238   Cingulo-Opercular_36                     0.600   0.000   0.600   1.000   
         239   Cingulo-Opercular_37                     0.600   0.000   0.600   1.000   
         240   Cingulo-Opercular_38                     0.600   0.000   0.600   1.000   
         241   Default_43                               1.000   0.000   0.000   1.000   
         242   Default_44                               1.000   0.000   0.000   1.000   
         243   Frontoparietal_31                        1.000   1.000   0.000   1.000   
         244   Default_45                               1.000   0.000   0.000   1.000   
         245   Default_46                               1.000   0.000   0.000   1.000   
         246   Default_47                               1.000   0.000   0.000   1.000   
         247   Default_48                               1.000   0.000   0.000   1.000   
         248   Default_49                               1.000   0.000   0.000   1.000   
         249   Default_50                               1.000   0.000   0.000   1.000   
         250   Default_51                               1.000   0.000   0.000   1.000   
         251   Default_52                               1.000   0.000   0.000   1.000   
         252   Default_53                               1.000   0.000   0.000   1.000   
         253   Frontoparietal_32                        1.000   1.000   0.000   1.000   
         254   Language_13                              0.000   0.608   0.608   1.000   
         255   Language_14                              0.000   0.608   0.608   1.000   
         256   Default_54                               1.000   0.000   0.000   1.000   
         257   Frontoparietal_33                        1.000   1.000   0.000   1.000   
         258   Cingulo-Opercular_39                     0.600   0.000   0.600   1.000   
         259   Language_15                              0.000   0.608   0.608   1.000   
         260   Frontoparietal_34                        1.000   1.000   0.000   1.000   
         261   Language_16                              0.000   0.608   0.608   1.000   
         262   Frontoparietal_35                        1.000   1.000   0.000   1.000   
         263   Frontoparietal_36                        1.000   1.000   0.000   1.000   
         264   Cingulo-Opercular_40                     0.600   0.000   0.600   1.000   
         265   Frontoparietal_37                        1.000   1.000   0.000   1.000   
         266   Cingulo-Opercular_41                     0.600   0.000   0.600   1.000   
         267   Default_55                               1.000   0.000   0.000   1.000   
         268   Default_56                               1.000   0.000   0.000   1.000   
         269   Frontoparietal_38                        1.000   1.000   0.000   1.000   
         270   Default_57                               1.000   0.000   0.000   1.000   
         271   Frontoparietal_39                        1.000   1.000   0.000   1.000   
         272   Frontoparietal_40                        1.000   1.000   0.000   1.000   
         273   Default_58                               1.000   0.000   0.000   1.000   
         274   Default_59                               1.000   0.000   0.000   1.000   
         275   Dorsal Attention_14                      0.000   1.000   0.000   1.000   
         276   Dorsal Attention_15                      0.000   1.000   0.000   1.000   
         277   Frontoparietal_41                        1.000   1.000   0.000   1.000   
         278   Frontoparietal_42                        1.000   1.000   0.000   1.000   
         279   Cingulo-Opercular_42                     0.600   0.000   0.600   1.000   
         280   Somatomotor_34                           0.000   1.000   1.000   1.000   
         281   Somatomotor_35                           0.000   1.000   1.000   1.000   
         282   Somatomotor_36                           0.000   1.000   1.000   1.000   
         283   Auditory_8                               0.980   0.243   0.984   1.000   
         284   Auditory_9                               0.980   0.243   0.984   1.000   
         285   Cingulo-Opercular_43                     0.600   0.000   0.600   1.000   
         286   Cingulo-Opercular_44                     0.600   0.000   0.600   1.000   
         287   Auditory_10                              0.980   0.243   0.984   1.000   
         288   Cingulo-Opercular_45                     0.600   0.000   0.600   1.000   
         289   Cingulo-Opercular_46                     0.600   0.000   0.600   1.000   
         290   Orbito-Affective_3                       0.255   0.490   0.000   0.659   
         291   Frontoparietal_43                        1.000   1.000   0.000   1.000   
         292   Orbito-Affective_4                       0.255   0.490   0.000   0.659   
         293   Cingulo-Opercular_47                     0.600   0.000   0.600   1.000   
         294   Cingulo-Opercular_48                     0.600   0.000   0.600   1.000   
         295   Somatomotor_37                           0.000   1.000   1.000   1.000   
         296   Dorsal Attention_16                      0.000   1.000   0.000   1.000   
         297   Dorsal Attention_17                      0.000   1.000   0.000   1.000   
         298   Default_60                               1.000   0.000   0.000   1.000   
         299   Default_61                               1.000   0.000   0.000   1.000   
         300   Default_62                               1.000   0.000   0.000   1.000   
         301   Visual_4                                 0.000   0.000   1.000   1.000   
         302   Ventral Multimodal_2                     1.000   0.616   0.000   1.000   
         303   Language_17                              0.000   0.608   0.608   1.000   
         304   Auditory_11                              0.980   0.243   0.984   1.000   
         305   Language_18                              0.000   0.608   0.608   1.000   
         306   Default_63                               1.000   0.000   0.000   1.000   
         307   Dorsal Attention_18                      0.000   1.000   0.000   1.000   
         308   Language_19                              0.000   0.608   0.608   1.000   
         309   Language_20                              0.000   0.608   0.608   1.000   
         310   Default_64                               1.000   0.000   0.000   1.000   
         311   Default_65                               1.000   0.000   0.000   1.000   
         312   Default_66                               1.000   0.000   0.000   1.000   
         313   Frontoparietal_44                        1.000   1.000   0.000   1.000   
         314   Default_67                               1.000   0.000   0.000   1.000   
         315   Ventral Multimodal_3                     1.000   0.616   0.000   1.000   
         316   Dorsal Attention_19                      0.000   1.000   0.000   1.000   
         317   Dorsal Attention_20                      0.000   1.000   0.000   1.000   
         318   Visual2_44                               0.392   0.000   1.000   1.000   
         319   Language_21                              0.000   0.608   0.608   1.000   
         320   Posterior Multimodal_5                   0.694   0.349   0.157   1.000   
         321   Posterior Multimodal_6                   0.694   0.349   0.157   1.000   
         322   Visual_5                                 0.000   0.000   1.000   1.000   
         323   Dorsal Attention_21                      0.000   1.000   0.000   1.000   
         324   Frontoparietal_45                        1.000   1.000   0.000   1.000   
         325   Frontoparietal_46                        1.000   1.000   0.000   1.000   
         326   Dorsal Attention_22                      0.000   1.000   0.000   1.000   
         327   Cingulo-Opercular_49                     0.600   0.000   0.600   1.000   
         328   Cingulo-Opercular_50                     0.600   0.000   0.600   1.000   
         329   Frontoparietal_47                        1.000   1.000   0.000   1.000   
         330   Default_68                               1.000   0.000   0.000   1.000   
         331   Default_69                               1.000   0.000   0.000   1.000   
         332   Visual2_45                               0.392   0.000   1.000   1.000   
         333   Visual2_46                               0.392   0.000   1.000   1.000   
         334   Visual2_47                               0.392   0.000   1.000   1.000   
         335   Default_70                               1.000   0.000   0.000   1.000   
         336   Visual2_48                               0.392   0.000   1.000   1.000   
         337   Visual2_49                               0.392   0.000   1.000   1.000   
         338   Visual2_50                               0.392   0.000   1.000   1.000   
         339   Visual2_51                               0.392   0.000   1.000   1.000   
         340   Visual2_52                               0.392   0.000   1.000   1.000   
         341   Default_71                               1.000   0.000   0.000   1.000   
         342   Default_72                               1.000   0.000   0.000   1.000   
         343   Visual2_53                               0.392   0.000   1.000   1.000   
         344   Default_73                               1.000   0.000   0.000   1.000   
         345   Default_74                               1.000   0.000   0.000   1.000   
         346   Orbito-Affective_5                       0.255   0.490   0.000   0.659   
         347   Cingulo-Opercular_51                     0.600   0.000   0.600   1.000   
         348   Somatomotor_38                           0.000   1.000   1.000   1.000   
         349   Cingulo-Opercular_52                     0.600   0.000   0.600   1.000   
         350   Frontoparietal_48                        1.000   1.000   0.000   1.000   
         351   Frontoparietal_49                        1.000   1.000   0.000   1.000   
         352   Language_22                              0.000   0.608   0.608   1.000   
         353   Auditory_12                              0.980   0.243   0.984   1.000   
         354   Auditory_13                              0.980   0.243   0.984   1.000   
         355   Auditory_14                              0.980   0.243   0.984   1.000   
         356   Default_75                               1.000   0.000   0.000   1.000   
         357   Default_76                               1.000   0.000   0.000   1.000   
         358   Cingulo-Opercular_53                     0.600   0.000   0.600   1.000   
         359   Cingulo-Opercular_54                     0.600   0.000   0.600   1.000   
         360   Cingulo-Opercular_55                     0.600   0.000   0.600   1.000   
        1030   Visual-3_R-Accumbens                     0.000   0.000   1.000   1.000   
        1040   Visual-4_R-Accumbens                     0.000   0.000   1.000   1.000   
        1060   Visual-6_L-Brainstem                     0.000   0.000   1.000   1.000   
        1070   Visual-7_R-Brainstem                     0.000   0.000   1.000   1.000   
        1090   Visual-9_L-Brainstem                     0.000   0.000   1.000   1.000   
        1100   Visual-10_LR-Brainstem                   0.000   0.000   1.000   1.000   
        1140   Visual-14_R-Caudate                      0.000   0.000   1.000   1.000   
        1310   Visual-31_R-Cerebellum                   0.000   0.000   1.000   1.000   
        1320   Visual-32_R-Cerebellum                   0.000   0.000   1.000   1.000   
        1330   Visual-33_R-Cerebellum                   0.000   0.000   1.000   1.000   
        1340   Visual-34_R-Cerebellum                   0.000   0.000   1.000   1.000   
        1350   Visual-35_R-Cerebellum                   0.000   0.000   1.000   1.000   
        1360   Visual-36_R-Cerebellum                   0.000   0.000   1.000   1.000   
        1370   Visual-37_R-Cerebellum                   0.000   0.000   1.000   1.000   
        1380   Visual-38_R-Cerebellum                   0.000   0.000   1.000   1.000   
        1390   Visual-39_R-Cerebellum                   0.000   0.000   1.000   1.000   
        1400   Visual-40_R-Cerebellum                   0.000   0.000   1.000   1.000   
        1410   Visual-41_R-Cerebellum                   0.000   0.000   1.000   1.000   
        1430   Visual-43_R-Diencephalon                 0.000   0.000   1.000   1.000   
        1450   Visual-45_R-Hippocampus                  0.000   0.000   1.000   1.000   
        1480   Visual-48_R-Pallidum                     0.000   0.000   1.000   1.000   
        1490   Visual-49_R-Pallidum                     0.000   0.000   1.000   1.000   
        1530   Visual-53_R-Putamen                      0.000   0.000   1.000   1.000   
        1540   Visual-54_R-Putamen                      0.000   0.000   1.000   1.000   
        1610   Visual-61_R-Thalamus                     0.000   0.000   1.000   1.000   
        1620   Visual-62_R-Thalamus                     0.000   0.000   1.000   1.000   
        1630   Visual-63_R-Thalamus                     0.000   0.000   1.000   1.000   
        2020   Visual2-2_R-Amygdala                     0.392   0.000   1.000   1.000   
        2030   Visual2-3_LR-Brainstem                   0.392   0.000   1.000   1.000   
        2060   Visual2-6_R-Brainstem                    0.392   0.000   1.000   1.000   
        2120   Visual2-12_R-Cerebellum                  0.392   0.000   1.000   1.000   
        2130   Visual2-13_R-Cerebellum                  0.392   0.000   1.000   1.000   
        2140   Visual2-14_R-Cerebellum                  0.392   0.000   1.000   1.000   
        2150   Visual2-15_R-Cerebellum                  0.392   0.000   1.000   1.000   
        2170   Visual2-17_R-Diencephalon                0.392   0.000   1.000   1.000   
        2180   Visual2-18_R-Diencephalon                0.392   0.000   1.000   1.000   
        2190   Visual2-19_R-Diencephalon                0.392   0.000   1.000   1.000   
        2250   Visual2-25_R-Hippocampus                 0.392   0.000   1.000   1.000   
        2260   Visual2-26_R-Hippocampus                 0.392   0.000   1.000   1.000   
        2270   Visual2-27_R-Hippocampus                 0.392   0.000   1.000   1.000   
        2290   Visual2-29_R-Thalamus                    0.392   0.000   1.000   1.000   
        3010   Somatomotor-1_R-Accumbens                0.000   1.000   1.000   1.000   
        3030   Somatomotor-3_R-Amygdala                 0.000   1.000   1.000   1.000   
        3040   Somatomotor-4_LR-Brainstem               0.000   1.000   1.000   1.000   
        3050   Somatomotor-5_LR-Brainstem               0.000   1.000   1.000   1.000   
        3110   Somatomotor-11_R-Cerebellum              0.000   1.000   1.000   1.000   
        3120   Somatomotor-12_R-Cerebellum              0.000   1.000   1.000   1.000   
